               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082223,            0.035058,            0.082974,             0.11253,             0.10523,            0.048125,            0.025101,            0.044132,            0.013815,            0.074906,            0.070099,           0.0033223,           0.0033223
                   1,            0.049759,            0.030576,            0.078295,             0.14361,             0.17215,            0.066763,            0.038185,            0.037543,            0.011727,            0.071077,             0.03944,           0.0059968,           0.0059968
                   2,            0.043768,            0.027657,            0.076297,             0.30529,             0.19132,            0.091348,            0.054777,            0.031625,            0.010858,            0.068681,           0.0081212,           0.0080112,           0.0080112
                   3,            0.038422,            0.026376,            0.073465,             0.36775,             0.26459,             0.11689,            0.072122,            0.028128,            0.010245,            0.065926,             0.00703,             0.00703,             0.00703
                   4,            0.035366,            0.025774,            0.070676,             0.34107,             0.29345,             0.14646,            0.098288,            0.024974,           0.0097815,            0.063805,             0.00703,             0.00703,             0.00703
                   5,            0.032429,            0.025762,            0.068617,             0.27609,             0.34582,             0.17501,             0.11069,            0.026757,           0.0096421,            0.062142,             0.00604,             0.00604,             0.00604
                   6,            0.030276,            0.024083,             0.06687,             0.33836,              0.3814,              0.2183,             0.15252,            0.024383,            0.009855,            0.059842,             0.00505,             0.00505,             0.00505
                   7,            0.029152,            0.024235,             0.06534,              0.2531,             0.43238,             0.24063,              0.1731,            0.022185,             0.00898,            0.058587,             0.00406,             0.00406,             0.00406
