               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075402,            0.033706,            0.082091,            0.061253,             0.19927,            0.060633,            0.031612,            0.043444,            0.013312,            0.079157,            0.070121,           0.0033198,           0.0033198
                   1,            0.044939,            0.028006,            0.077161,             0.23612,             0.20902,            0.097492,            0.063468,            0.031585,            0.010827,            0.074668,            0.039792,           0.0063238,           0.0063238
                   2,            0.040671,            0.026291,            0.073218,             0.35415,             0.24407,              0.1267,            0.078627,            0.029756,            0.010185,            0.069848,           0.0091328,           0.0089978,           0.0089978
                   3,            0.036706,             0.02545,            0.068607,             0.28388,             0.37843,             0.20452,             0.14006,            0.026938,            0.009922,            0.066009,            0.008515,            0.008515,            0.008515
                   4,            0.033755,            0.024799,            0.064863,             0.39406,             0.40399,             0.26296,             0.17842,            0.027655,            0.010635,            0.060969,            0.008515,            0.008515,            0.008515
                   5,            0.032225,            0.024062,            0.060576,             0.37821,             0.44892,             0.32095,             0.22046,            0.027319,            0.010025,            0.056615,             0.00802,             0.00802,             0.00802
                   6,            0.030863,            0.024073,            0.057363,             0.43065,             0.38433,             0.35607,             0.25252,            0.025898,            0.009643,            0.053485,            0.007525,            0.007525,            0.007525
                   7,            0.029947,            0.023584,            0.054694,             0.49155,             0.44716,             0.40769,             0.28495,            0.027226,            0.010615,            0.050338,             0.00703,             0.00703,             0.00703
                   8,            0.029361,            0.023454,             0.05171,             0.55591,             0.43941,             0.46719,             0.33365,            0.024808,           0.0096723,            0.048656,            0.006535,            0.006535,            0.006535
                   9,            0.029023,             0.02344,            0.048112,             0.56034,             0.52745,             0.50576,             0.34698,            0.025856,           0.0095741,            0.044013,             0.00604,             0.00604,             0.00604
                  10,            0.028287,            0.023222,            0.046143,             0.58581,             0.53141,             0.55362,             0.40202,            0.024268,            0.009614,            0.043088,            0.005545,            0.005545,            0.005545
                  11,            0.027515,             0.02249,            0.043099,             0.60139,             0.57495,             0.56682,              0.4109,            0.025027,           0.0099215,            0.040444,             0.00505,             0.00505,             0.00505
                  12,            0.027185,            0.022454,            0.040686,             0.60339,             0.60029,             0.57737,             0.42762,            0.024071,           0.0093239,            0.041143,            0.004555,            0.004555,            0.004555
                  13,            0.026357,            0.022087,            0.039149,             0.67602,             0.60961,             0.65634,             0.48828,            0.023153,           0.0091753,            0.033787,             0.00406,             0.00406,             0.00406
                  14,            0.026017,            0.021712,            0.037112,             0.66986,             0.60539,             0.64398,             0.48452,            0.022672,           0.0093143,            0.038132,            0.003565,            0.003565,            0.003565
                  15,            0.025601,            0.021767,            0.034779,             0.73518,              0.6292,             0.69772,             0.52972,            0.022625,           0.0089927,            0.031996,             0.00307,             0.00307,             0.00307
                  16,            0.024695,            0.021202,            0.033539,             0.73607,              0.6375,             0.70308,             0.53962,            0.021524,           0.0088318,            0.030935,            0.002575,            0.002575,            0.002575
                  17,            0.024319,            0.021183,            0.031982,             0.71054,              0.6699,              0.7111,             0.55262,            0.021491,           0.0088073,            0.030325,             0.00208,             0.00208,             0.00208
                  18,             0.02368,            0.020824,            0.029947,             0.76625,             0.63746,             0.73784,             0.57631,             0.02085,           0.0086266,            0.029737,            0.001585,            0.001585,            0.001585
                  19,            0.022738,            0.020535,            0.029411,             0.76307,             0.65509,             0.74105,             0.58772,            0.020626,           0.0085766,            0.029047,             0.00109,             0.00109,             0.00109
