epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
45,0.024871,0.009555,0.01943,0.79742,0.77085,0.85271,0.66973,0.02144,0.0086476,0.019848,0.005644,0.005644,0.005644
46,0.024315,0.009523,0.019647,0.79479,0.78815,0.85929,0.67727,0.021192,0.0087637,0.017659,0.005545,0.005545,0.005545
47,0.024171,0.009756,0.018502,0.7814,0.80181,0.86037,0.67065,0.022157,0.008839,0.019661,0.005446,0.005446,0.005446
48,0.024231,0.009457,0.018034,0.83795,0.73454,0.84563,0.66187,0.021509,0.0089488,0.018272,0.005347,0.005347,0.005347
49,0.02414,0.009172,0.018315,0.81059,0.73406,0.83738,0.66341,0.021689,0.0088977,0.023465,0.005248,0.005248,0.005248
50,0.023881,0.008982,0.018058,0.82223,0.77809,0.86834,0.69166,0.021621,0.0088084,0.018983,0.005149,0.005149,0.005149
51,0.023937,0.009194,0.017666,0.86535,0.75957,0.86563,0.68131,0.021433,0.0088763,0.017796,0.00505,0.00505,0.00505
52,0.023643,0.009243,0.017641,0.83603,0.78485,0.87,0.69006,0.021428,0.0088173,0.01998,0.004951,0.004951,0.004951
53,0.024017,0.009442,0.016805,0.81421,0.78308,0.86397,0.68764,0.020819,0.0088113,0.022433,0.004852,0.004852,0.004852
54,0.023322,0.008748,0.016943,0.82567,0.77244,0.85941,0.68162,0.021028,0.0087049,0.021023,0.004753,0.004753,0.004753
55,0.023207,0.008722,0.016749,0.84442,0.77005,0.86731,0.68627,0.021032,0.0087871,0.018886,0.004654,0.004654,0.004654
