               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076542,           0.0054277,            0.016187,            0.010173,             0.48481,            0.023673,           0.0099105,            0.045109,           0.0021245,            0.015054,            0.070121,           0.0033198,           0.0033198
                   1,            0.044945,           0.0042122,            0.013999,            0.026436,            0.090984,            0.017549,            0.010521,            0.033523,           0.0015231,            0.012876,            0.039855,            0.006387,            0.006387
                   2,             0.04062,           0.0034464,            0.012478,            0.017995,              0.0844,            0.017006,            0.010153,            0.033355,           0.0012941,            0.011611,           0.0093225,           0.0091876,           0.0091876
                   3,            0.037256,           0.0030211,            0.011436,             0.15631,            0.033727,            0.021263,             0.01474,            0.028712,           0.0011946,            0.010514,              0.0088,              0.0088,              0.0088
